ds,yhat,yhat_lower,yhat_upper
2016-09-04,-34.085996987506306,-98.04060303461391,24.72375740667318
2016-09-05,9.424400797167422,-52.597765685375975,75.37083557704236
2016-09-13,9.166709085462262,-48.71776928738119,65.56833790216277
2016-09-15,-4.02405653499377,-65.64391298596682,58.80384861376911
2016-10-02,-29.01256795397203,-89.31498364823746,30.43915707744218
2016-10-03,16.091338696301513,-45.27071937696586,79.62141108913019
2016-10-04,17.52130054384491,-47.1763475863121,78.31029370859649
2016-10-05,16.124514901221588,-44.84346562540176,74.07713230080152
2016-10-06,11.890627822206566,-47.52774670396415,74.7519777072298
2016-10-07,10.538140251902597,-48.464028487378336,71.0334557371552
2016-10-08,-23.27435854904507,-82.57144476697754,39.928861010046035
2016-10-09,-10.244643539306415,-70.4187160807384,50.41135751198794
2016-10-10,33.97029997314372,-30.86910159360801,96.60959122679535
2016-10-22,-40.69580201391143,-102.13881464077205,22.36250808427141
2016-12-23,-38.22475923777582,-101.31247491777474,22.824481960794305
2017-01-05,33.56436696949197,-28.6567883096849,90.83928168021326
2017-01-06,35.612454431479925,-25.36770513109622,96.16075996976923
2017-01-07,4.937960593740939,-56.18005345666933,68.22927094692699
2017-01-08,20.846420032839152,-41.864040175820065,78.87817043069533
2017-01-09,67.7104552215963,8.800420477324506,123.02427558760188
2017-01-10,70.14808213678917,3.617232770694967,135.062476992966
2017-01-11,69.06728753594395,7.343357463188858,132.7569732874111
2017-01-12,64.54184268871086,0.8680590163146173,125.96894906743341
2017-01-13,62.394386044188934,-1.2200413097874978,120.89596537248373
2017-01-14,27.40376843625212,-37.745341913081475,89.56422189143144
2017-01-15,39.00426157898177,-19.685205993737142,104.84569555549277
2017-01-16,81.67804843084481,20.44261382732006,144.492605967239
2017-01-17,80.14259453329697,20.559111358670375,143.30631424483198
2017-01-18,75.3931645685526,12.046373785464253,135.87809394895535
2017-01-19,67.57698074664225,-1.470635449705907,126.6785477046785
2017-01-20,62.57508579456147,-0.872311172808484,125.3111340806825
2017-01-21,25.208921841492508,-35.792689028343005,88.35695513248788
2017-01-22,34.939230854123664,-30.358212865633533,92.12120581680018
2017-01-23,76.27059826106894,11.150907270571615,140.40450192845427
2017-01-24,73.90366523389011,11.024929373086936,130.79292061391604
2017-01-25,68.81435047756082,3.914750488273948,131.00276591570727
2017-01-26,61.11742930093763,-0.2700749386546434,124.1311897875544
2017-01-27,56.65003667496737,-0.5784899056086896,116.53733556476158
2017-01-28,20.180137788630276,-41.98813549321839,82.2345940059692
2017-01-29,31.107509399320953,-31.164961122166446,89.48853467751763
2017-01-30,73.85857703028182,12.151218507912654,136.82547694356492
2017-01-31,73.07661997915046,7.381337289436,133.09145032367545
2017-02-01,69.66751042348244,8.572626663185513,127.90833018592302
2017-02-02,63.67737745958505,3.191480200616326,126.28992277890772
2017-02-03,60.878148461526216,-2.2927830394639024,122.80312216527022
2017-02-04,25.977867271077294,-39.00371088796112,88.6536506899976
2017-02-05,38.32328490602054,-19.79354847499416,99.37258940063363
2017-02-06,82.29602858106158,22.91234104500111,142.77497532361068
2017-02-07,82.50383102250554,23.172070706825437,142.57745187419758
2017-02-08,79.83640210809199,18.084498842668562,143.62343915516183
2017-02-09,74.3151447958125,16.81538968786916,136.57553493565118
2017-02-10,71.70702633284345,11.638436964154394,134.22276790936235
2017-02-11,36.72515663133705,-20.810747745926754,99.01048392144678
2017-02-12,48.73076853430649,-11.335439321898692,108.97402714381586
2017-02-13,92.12849857765973,32.51474166844921,152.30723742852467
2017-02-14,91.55648644988277,31.922623571056434,154.75607958038918
2017-02-15,87.931481928343,25.70893465728767,154.9888644094336
2017-02-16,81.32538779745425,20.894381131066115,143.851183184
2017-02-17,77.5492424793845,15.583978913040653,135.1642092079726
2017-02-18,41.36160503490689,-16.691976018578938,106.53761782942772
2017-02-19,52.16891099550745,-11.554615432338,112.79615249568394
2017-02-20,94.4191848006792,33.62970609369983,154.4158475779611
2017-02-21,92.79067543425964,31.17653168839443,154.68392098419966
2017-02-22,88.23564805435643,26.039416193696624,148.2843400479885
2017-02-23,80.85579852261257,19.834424460447917,147.3156287394622
2017-02-24,76.48532628656184,13.526381882560996,135.65018231546924
2017-02-25,39.90585389595017,-19.726280883878204,103.17759870406616
2017-02-26,50.52477068920676,-8.19718804997788,113.6520958344201
2017-02-27,92.79040818156459,31.83307150343658,153.5299004164397
2017-02-28,91.37359883137904,28.991914468559724,149.32541582217692
2017-03-01,87.21184885991214,25.413819145056266,147.42460749127596
2017-03-02,80.38537356399205,19.185312117732305,139.81241458787213
2017-03-03,76.70100629535887,17.671321577759034,142.29989615674188
2017-03-04,40.90093735079143,-23.34724591950128,100.47652479612358
2017-03-05,52.363831425493316,-4.942911417256469,116.32401009771922
2017-03-06,95.49967707076783,36.6586277148332,158.88431084633493
2017-03-07,94.93989111271475,29.56882308979606,156.28173958192764
2017-03-08,91.58285745844037,26.75931881468892,149.5469875343234
2017-03-09,85.47130591087657,20.795669690466255,149.773812191916
2017-03-10,82.37749929405501,17.998688906054678,140.33898780927322
2017-03-11,47.01314493227967,-17.688415654542705,109.23191774710622
2017-03-12,58.73154281260866,-2.1946625406002096,119.8087487125047
2017-03-13,101.92646152166193,38.76325480107932,167.06981207970344
2017-03-14,101.21339432275764,43.712335137535526,161.8305316247311
2017-03-15,97.48504603569113,28.48390563829541,160.06927660423153
2017-03-16,90.7857543181104,31.015472699113968,155.7132213496688
